"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"84","P52306","ENSP00000369503","Nsp2","RAP1GDS1","0.991635744","0.0","12.0","120.0","GDS1_HUMAN","Rap1 GTPase-GDP dissociation stimulator 1 (Exchange factor smgGDS) (SMG GDS protein) (SMG P21 stimulatory GDP/GTP exchange protein)"," Stimulates GDP/GTP exchange reaction of a group of small GTP-binding proteins (G proteins) including Rap1a/Rap1b, RhoA, RhoB and KRas, by stimulating the dissociation of GDP from and the subsequent binding of GTP to each small G protein.","5XGC;5ZHX",NA
"85","P52948","ENSP00000352091","Orf6","NUP98","0.903566335","0.0","8.0","80.0","NUP98_HUMAN","Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]"," Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance. NUP98 and NUP96 are involved in the bidirectional transport across the NPC. May anchor NUP153 and TPR to the NPC. In cooperation with DHX9, plays a role in transcription and alternative splicing activation of a subset of genes (PubMed:28221134). Involved in the localization of DHX9 in discrete intranuclear foci (GLFG-body) (PubMed:28221134). {ECO:0000269|PubMed:15229283}.","1KO6;2Q5X;2Q5Y;3MMY;4OWR;5A9Q;6BZM"," Note=A chromosomal aberration involving NUP98 is found in a form of acute myeloid leukemia. Translocation t(7;11)(p15;p15) with HOXA9. Translocation t(11;17)(p15;p13) with PHF23. {ECO:0000269|PubMed:16028218}.; DISEASE: Note=A chromosomal aberration involving NUP98 is found in childhood acute myeloid leukemia. Translocation t(5;11)(q35;p15.5) with NSD1. Translocation t(8;11)(p11.2;p15) with WHSC1L1. {ECO:0000269|PubMed:16028218}.; DISEASE: Note=A chromosomal aberration involving NUP98 is found in a form of therapy-related myelodysplastic syndrome. Translocation t(11;20)(p15;q11) with TOP1. {ECO:0000269|PubMed:16028218}.; DISEASE: Note=A chromosomal aberration involving NUP98 is found in a form of T-cell acute lymphoblastic leukemia (T-ALL). Translocation t(3;11)(q12.2;p15.4) with LNP1. {ECO:0000269|PubMed:16028218}.; DISEASE: Note=A chromosomal aberration involving NUP98 is associated with pediatric acute myeloid leukemia (AML) with intermediate characteristics between M2-M3 French-American-British (FAB) subtypes. Translocation t(9;11)(p22;p15) with PSIP1/LEDGF. The chimeric transcript is an in-frame fusion of NUP98 exon 8 to PSIP1/LEDGF exon 4. {ECO:0000269|PubMed:16028218}.; DISEASE: Note=A chromosomal aberration involving NUP98 has been identified in acute leukemias. Translocation t(6;11)(q24.1;p15.5) with CCDC28A. The chimeric transcript is an in-frame fusion of NUP98 exon 13 to CCDC28A exon 2. Ectopic expression of NUP98-CCDC28A in mouse promotes the proliferative capacity and self-renewal potential of hematopoietic progenitors and rapidly induced fatal myeloproliferative neoplasms and defects in the differentiation of the erythro-megakaryocytic lineage. {ECO:0000269|PubMed:16028218}."
"86","P55085","ENSP00000296677","Orf9c","F2RL1","0.891878677","0.0","3.67","36.67","PAR2_HUMAN","Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2]"," Receptor for trypsin and trypsin-like enzymes coupled to G proteins (PubMed:28445455). Its function is mediated through the activation of several signaling pathways including phospholipase C (PLC), intracellular calcium, mitogen-activated protein kinase (MAPK), I-kappaB kinase/NF-kappaB and Rho (PubMed:28445455). Can also be transactivated by cleaved F2R/PAR1. Involved in modulation of inflammatory responses and regulation of innate and adaptive immunity, and acts as a sensor for proteolytic enzymes generated during infection. Generally is promoting inflammation. Can signal synergistically with TLR4 and probably TLR2 in inflammatory responses and modulates TLR3 signaling. Has a protective role in establishing the endothelial barrier; the activity involves coagulation factor X. Regulates endothelial cell barrier integrity during neutrophil extravasation, probably following proteolytic cleavage by PRTN3 (PubMed:23202369). Proposed to have a bronchoprotective role in airway epithelium, but also shown to compromise the airway epithelial barrier by interrupting E-cadherin adhesion (PubMed:10086357). Involved in the regulation of vascular tone; activation results in hypotension presumably mediated by vasodilation. Associates with a subset of G proteins alpha subunits such as GNAQ, GNA11, GNA14, GNA12 and GNA13, but probably not with G(o) alpha, G(i) subunit alpha-1 and G(i) subunit alpha-2. However, according to PubMed:21627585 can signal through G(i) subunit alpha. Believed to be a class B receptor which internalizes as a complex with arrestin and traffic with it to endosomal vesicles, presumably as desensitized receptor, for extended periods of time. Mediates inhibition of TNF-alpha stimulated JNK phosphorylation via coupling to GNAQ and GNA11; the function involves dissociation of RIPK1 and TRADD from TNFR1. Mediates phosphorylation of nuclear factor NF-kappa-B RELA subunit at 'Ser-536'; the function involves IKBKB and is predominantly independent of G proteins. Involved in cellular migration. Involved in cytoskeletal rearrangement and chemotaxis through beta-arrestin-promoted scaffolds; the function is independent of GNAQ and GNA11 and involves promotion of cofilin dephosphorylation and actin filament severing. Induces redistribution of COPS5 from the plasma membrane to the cytosol and activation of the JNK cascade is mediated by COPS5. Involved in the recruitment of leukocytes to the sites of inflammation and is the major PAR receptor capable of modulating eosinophil function such as proinflammatory cytokine secretion, superoxide production and degranulation. During inflammation promotes dendritic cell maturation, trafficking to the lymph nodes and subsequent T-cell activation. Involved in antimicrobial response of innate immune cells; activation enhances phagocytosis of Gram-positive and killing of Gram-negative bacteria. Acts synergistically with interferon-gamma in enhancing antiviral responses. Implicated in a number of acute and chronic inflammatory diseases such as of the joints, lungs, brain, gastrointestinal tract, periodontium, skin, and vascular systems, and in autoimmune disorders. {ECO:0000269|PubMed:10086357, ECO:0000269|PubMed:10725339, ECO:0000269|PubMed:11413129, ECO:0000269|PubMed:11441110, ECO:0000269|PubMed:11447194, ECO:0000269|PubMed:11714832, ECO:0000269|PubMed:12832443, ECO:0000269|PubMed:15155775, ECO:0000269|PubMed:16359518, ECO:0000269|PubMed:16410250, ECO:0000269|PubMed:16478888, ECO:0000269|PubMed:16714334, ECO:0000269|PubMed:17404307, ECO:0000269|PubMed:17500066, ECO:0000269|PubMed:18424071, ECO:0000269|PubMed:18453611, ECO:0000269|PubMed:18474671, ECO:0000269|PubMed:18622013, ECO:0000269|PubMed:19494303, ECO:0000269|PubMed:19781631, ECO:0000269|PubMed:19864598, ECO:0000269|PubMed:19865078, ECO:0000269|PubMed:20826780, ECO:0000269|PubMed:21501162, ECO:0000269|PubMed:23202369, ECO:0000269|PubMed:28445455}.","5NDD;5NDZ;5NJ6",NA
"87","P55789","ENSP00000248114","Nsp10","GFER","0.965372815","0.0","4.67","46.67","ALR_HUMAN","FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin)"," [Isoform 1]: FAD-dependent sulfhydryl oxidase that regenerates the redox-active disulfide bonds in CHCHD4/MIA40, a chaperone essential for disulfide bond formation and protein folding in the mitochondrial intermembrane space. The reduced form of CHCHD4/MIA40 forms a transient intermolecular disulfide bridge with GFER/ERV1, resulting in regeneration of the essential disulfide bonds in CHCHD4/MIA40, while GFER/ERV1 becomes re-oxidized by donating electrons to cytochrome c or molecular oxygen. {ECO:0000269|PubMed:19397338, ECO:0000269|PubMed:20593814, ECO:0000269|PubMed:21383138, ECO:0000269|PubMed:22224850, ECO:0000269|PubMed:23186364, ECO:0000269|PubMed:23676665}.; FUNCTION: [Isoform 2]: May act as an autocrine hepatotrophic growth factor promoting liver regeneration.","3MBG;3O55;3TK0;3U2L;3U2M;3U5S;4LDK"," Myopathy, mitochondrial progressive, with congenital cataract, hearing loss and developmental delay (MPMCHD) [MIM:613076]: A disease characterized by progressive myopathy and partial combined respiratory-chain deficiency, congenital cataract, sensorineural hearing loss, and developmental delay. {ECO:0000269|PubMed:19409522, ECO:0000269|PubMed:20593814}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"88","P58166","ENSP00000266646","Orf8","INHBE","0.993645979","0.0","6.0","60.0","INHBE_HUMAN","Inhibin beta E chain (Activin beta-E chain)"," Inhibins and activins inhibit and activate, respectively, the secretion of follitropin by the pituitary gland. Inhibins/activins are involved in regulating a number of diverse functions such as hypothalamic and pituitary hormone secretion, gonadal hormone secretion, germ cell development and maturation, erythroid differentiation, insulin secretion, nerve cell survival, embryonic axial development or bone growth, depending on their subunit composition. Inhibins appear to oppose the functions of activins.",NA,NA
"89","P61006","ENSP00000300935","Nsp7","RAB8A","0.895744596","0.05","2.33","23.33","RAB8A_HUMAN","Ras-related protein Rab-8A (Oncogene c-mel)"," The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. That Rab is involved in polarized vesicular trafficking and neurotransmitter release. Together with RAB11A, RAB3IP, the exocyst complex, PARD3, PRKCI, ANXA2, CDC42 and DNMBP promotes transcytosis of PODXL to the apical membrane initiation sites (AMIS), apical surface formation and lumenogenesis (PubMed:20890297). Together with MYO5B and RAB11A participates in epithelial cell polarization (PubMed:21282656). May be involved in ciliogenesis (PubMed:21844891, PubMed:30398148). Together with MICALL2, may also regulate adherens junction assembly (By similarity). May play a role in insulin-induced transport to the plasma membrane of the glucose transporter GLUT4 and therefore play a role in glucose homeostasis (By similarity). Involved in autophagy (PubMed:27103069). {ECO:0000250|UniProtKB:P35280, ECO:0000250|UniProtKB:P55258, ECO:0000269|PubMed:20890297, ECO:0000269|PubMed:21282656, ECO:0000269|PubMed:21844891, ECO:0000269|PubMed:27103069, ECO:0000269|PubMed:30398148}.","3QBT;3TNF;4LHV;4LHW;4LHX;4LHY;4LHZ;4LI0;5SZI",NA
"90","P61011","ENSP00000451818","Nsp8","SRP54","0.755584148","0.0","4.0","40.0","SRP54_HUMAN","Signal recognition particle 54 kDa protein (SRP54)"," Binds to the signal sequence of presecretory protein when they emerge from the ribosomes and transfers them to TRAM (translocating chain-associating membrane protein).","1MFQ;1QB2;5L3Q",NA
"91","P61019","ENSP00000262646","Nsp7","RAB2A","0.97919572","0.05","2.0","20.0","RAB2A_HUMAN","Ras-related protein Rab-2A"," Required for protein transport from the endoplasmic reticulum to the Golgi complex.","1Z0A",NA
"92","P61026","ENSP00000264710","Nsp7","RAB10","0.981443071","0.0","3.0","30.0","RAB10_HUMAN","Ras-related protein Rab-10"," The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes (PubMed:21248164). Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion (PubMed:21248164). That Rab is mainly involved in the biosynthetic transport of proteins from the Golgi to the plasma membrane (PubMed:21248164). Regulates, for instance, SLC2A4/GLUT4 glucose transporter-enriched vesicles delivery to the plasma membrane (By similarity). In parallel, it regulates the transport of TLR4, a toll-like receptor to the plasma membrane and therefore may be important for innate immune response (By similarity). Plays also a specific role in asymmetric protein transport to the plasma membrane (PubMed:16641372). In neurons, it is involved in axonogenesis through regulation of vesicular membrane trafficking toward the axonal plasma membrane (By similarity). In epithelial cells, it regulates transport from the Golgi to the basolateral membrane (PubMed:16641372). May play a role in the basolateral recycling pathway and in phagosome maturation (By similarity). May play a role in endoplasmic reticulum dynamics and morphology controlling tubulation along microtubules and tubules fusion (PubMed:23263280). Together with LRRK2, RAB8A, and RILPL1, it regulates ciliogenesis (PubMed:30398148). When phosphorylated by LRRK2 on Thr-73, binds RILPL1 and inhibits ciliogenesis (PubMed:30398148). {ECO:0000250|UniProtKB:P24409, ECO:0000250|UniProtKB:P61027, ECO:0000269|PubMed:16641372, ECO:0000269|PubMed:21248164, ECO:0000269|PubMed:23263280, ECO:0000269|PubMed:30398148}.","5LPN;5SZJ",NA
"93","P61106","ENSP00000362946","Nsp7","RAB14","0.750712826","0.0","6.67","66.67","RAB14_HUMAN","Ras-related protein Rab-14"," Involved in membrane trafficking between the Golgi complex and endosomes during early embryonic development. Regulates the Golgi to endosome transport of FGFR-containing vesicles during early development, a key process for developing basement membrane and epiblast and primitive endoderm lineages during early postimplantation development. May act by modulating the kinesin KIF16B-cargo association to endosomes (By similarity). Regulates, together with its guanine nucleotide exchange factor DENND6A, the specific endocytic transport of ADAM10, N-cadherin/CDH2 shedding and cell-cell adhesion. {ECO:0000250, ECO:0000269|PubMed:22595670}.","1Z0F;4D0G;4DRZ",NA
"94","P61586","ENSP00000504180","Nsp7","RHOA","0.829029399","0.05","2.0","20.0","RHOA_HUMAN","Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)"," Small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. Mainly associated with cytoskeleton organization, in active state binds to a variety of effector proteins to regulate cellular responses such cytoskeletal dynamics, cell migration and cell cycle. Regulates a signal transduction pathway linking plasma membrane receptors to the assembly of focal adhesions and actin stress fibers (PubMed:8910519, PubMed:9121475). Involved in a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis (PubMed:16236794, PubMed:12900402). Plays an essential role in cleavage furrow formation. Required for the apical junction formation of keratinocyte cell-cell adhesion (PubMed:20974804, PubMed:23940119). Essential for the SPATA13-mediated regulation of cell migration and adhesion assembly and disassembly (PubMed:19934221). The MEMO1-RHOA-DIAPH1 signaling pathway plays an important role in ERBB2-dependent stabilization of microtubules at the cell cortex. It controls the localization of APC and CLASP2 to the cell membrane, via the regulation of GSK3B activity. In turn, membrane-bound APC allows the localization of the MACF1 to the cell membrane, which is required for microtubule capture and stabilization (PubMed:20937854). Regulates KCNA2 potassium channel activity by reducing its location at the cell surface in response to CHRM1 activation; promotes KCNA2 endocytosis (PubMed:9635436, PubMed:19403695). May be an activator of PLCE1 (PubMed:16103226). In neurons, involved in the inhibiton of the initial spine growth. Upon activation by CaMKII, modulates dendritic spine structural plasticity by relaying CaMKII transient activation to synapse-specific, long-term signaling (By similarity). {ECO:0000250|UniProtKB:P61589, ECO:0000269|PubMed:12900402, ECO:0000269|PubMed:16103226, ECO:0000269|PubMed:16236794, ECO:0000269|PubMed:19403695, ECO:0000269|PubMed:19934221, ECO:0000269|PubMed:20937854, ECO:0000269|PubMed:20974804, ECO:0000269|PubMed:23940119, ECO:0000269|PubMed:8910519, ECO:0000269|PubMed:9121475, ECO:0000269|PubMed:9635436}.; FUNCTION: (Microbial infection) Serves as a target for the yopT cysteine peptidase from Yersinia pestis, vector of the plague. {ECO:0000269|PubMed:12062101, ECO:0000269|PubMed:12538863}.","1A2B;1CC0;1CXZ;1DPF;1FTN;1KMQ;1LB1;1OW3;1S1C;1TX4;1X86;1XCG;2RGN;3KZ1;3LW8;3LWN;3LXR;3MSX;3T06;4D0N;4XH9;4XOI;4XSG;4XSH;5A0F;5BWM;5C2K;5C4M;5EZ6;5FR1;5FR2;5HPY;5IRC;5JCP;5JHG;5JHH;5M6X;5M70;5ZHX;6BC0;6BCA;6BCB;6R3V",NA
"95","P61916","ENSP00000442488","Orf8","NPC2","0.978204196","0.0","3.67","36.67","NPC2_HUMAN","NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)"," Intracellular cholesterol transporter which acts in concert with NPC1 and plays an important role in the egress of cholesterol from the lysosomal compartment (PubMed:17018531, PubMed:11125141, PubMed:18772377, PubMed:29580834, PubMed:15937921). Unesterified cholesterol that has been released from LDLs in the lumen of the late endosomes/lysosomes is transferred by NPC2 to the cholesterol-binding pocket in the N-terminal domain of NPC1 (PubMed:17018531, PubMed:18772377, PubMed:27238017). May bind and mobilize cholesterol that is associated with membranes (PubMed:18823126). NPC2 binds cholesterol with a 1:1 stoichiometry (PubMed:17018531). Can bind a variety of sterols, including lathosterol, desmosterol and the plant sterols stigmasterol and beta-sitosterol (PubMed:17018531). The secreted form of NCP2 regulates biliary cholesterol secretion via stimulation of ABCG5/ABCG8-mediated cholesterol transport (By similarity). {ECO:0000250|UniProtKB:Q9Z0J0, ECO:0000269|PubMed:11125141, ECO:0000269|PubMed:15937921, ECO:0000269|PubMed:17018531, ECO:0000269|PubMed:18772377, ECO:0000269|PubMed:18823126, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:29580834}.","5KWY"," Niemann-Pick disease C2 (NPC2) [MIM:607625]: A lysosomal storage disorder that affects the viscera and the central nervous system. It is due to defective intracellular processing and transport of low-density lipoprotein derived cholesterol. It causes accumulation of cholesterol in lysosomes, with delayed induction of cholesterol homeostatic reactions. Niemann-Pick disease type C2 has a highly variable clinical phenotype. Clinical features include variable hepatosplenomegaly and severe progressive neurological dysfunction such as ataxia, dystonia and dementia. The age of onset can vary from infancy to late adulthood. {ECO:0000269|PubMed:11125141, ECO:0000269|PubMed:11567215, ECO:0000269|PubMed:12447927, ECO:0000269|PubMed:12955717, ECO:0000269|PubMed:15937921, ECO:0000269|PubMed:16126423, ECO:0000269|PubMed:18772377}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"96","P61962","ENSP00000402312","Nsp9","DCAF7","0.969234024","0.0","16.0","160.0","DCAF7_HUMAN","DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)"," Involved in craniofacial development. Acts upstream of the EDN1 pathway and is required for formation of the upper jaw equivalent, the palatoquadrate. The activity required for EDN1 pathway function differs between the first and second arches (By similarity). Associates with DIAPH1 and controls GLI1 transcriptional activity. Could be involved in normal and disease skin development. May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex. {ECO:0000250, ECO:0000269|PubMed:16887337, ECO:0000269|PubMed:16949367}.",NA,NA
"97","P61970","ENSP00000219169","Nsp15","NUTF2","0.987886","0.0","2.33","23.33","NTF2_HUMAN","Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15)"," Mediates the import of GDP-bound RAN from the cytoplasm into the nucleus which is essential for the function of RAN in cargo receptor-mediated nucleocytoplasmic transport. Thereby, plays indirectly a more general role in cargo receptor-mediated nucleocytoplasmic transport. Interacts with GDP-bound RAN in the cytosol, recruits it to the nuclear pore complex via its interaction with nucleoporins and promotes its nuclear import. {ECO:0000269|PubMed:10679025, ECO:0000269|PubMed:7744965}.","1GY5",NA
"98","P62072","ENSP00000257245","Nsp4","TIMM10","0.961471982","0.0","5.33","53.33","TIM10_HUMAN","Mitochondrial import inner membrane translocase subunit Tim10"," Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. {ECO:0000269|PubMed:14726512}.","2BSK",NA
"99","P62330","ENSP00000298316","Nsp15","ARF6","0.988131492","0.0","7.0","70.0","ARF6_HUMAN","ADP-ribosylation factor 6"," GTP-binding protein involved in protein trafficking that regulates endocytic recycling and cytoskeleton remodeling (PubMed:11266366, PubMed:21170023, PubMed:16737952, PubMed:7589240, PubMed:18400762). Required for normal completion of mitotic cytokinesis (By similarity). Plays a role in the reorganization of the actin cytoskeleton and the formation of stress fibers (By similarity). Involved in the regulation of dendritic spine development, contributing to the regulation of dendritic branching and filopodia extension (PubMed:14978216). Plays an important role in membrane trafficking, during junctional remodeling and epithelial polarization. Regulates surface levels of adherens junction proteins such as CDH1 (By similarity). Required for NTRK1 sorting to the recycling pathway from early endosomes (By similarity). {ECO:0000250|UniProtKB:P62331, ECO:0000250|UniProtKB:P62332, ECO:0000269|PubMed:11266366, ECO:0000269|PubMed:14978216, ECO:0000269|PubMed:16099990, ECO:0000269|PubMed:16737952, ECO:0000269|PubMed:18400762, ECO:0000269|PubMed:21170023, ECO:0000269|PubMed:7589240}.; FUNCTION: (Microbial infection) Functions as an allosteric activator of the cholera toxin catalytic subunit, an ADP-ribosyltransferase. {ECO:0000269|PubMed:16099990}.","1E0S;2A5D;2A5F;2A5G;2BAO;2BAU;2J5X;2W83;3LVQ;3LVR;3N5C;3PCR;4FME;4KAX;6BBP;6BBQ",NA
"100","P62820","ENSP00000497078","Nsp7","RAB1A","0.935289593","0.0","4.0","40.0","RAB1A_HUMAN","Ras-related protein Rab-1A (YPT1-related protein)"," The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB1A regulates vesicular protein transport from the endoplasmic reticulum (ER) to the Golgi compartment and on to the cell surface, and plays a role in IL-8 and growth hormone secretion. Regulates the level of CASR present at the cell membrane. Plays a role in cell adhesion and cell migration, via its role in protein trafficking. Plays a role in autophagosome assembly and cellular defense reactions against pathogenic bacteria. Plays a role in microtubule-dependent protein transport by early endosomes and in anterograde melanosome transport. {ECO:0000269|PubMed:20639577, ECO:0000269|PubMed:20861236, ECO:0000269|PubMed:21303926, ECO:0000269|PubMed:22939626}.","2FOL;2WWX;3L0I;3SFV;3TKL;4FMB;4FMC;4FMD;4FME;4IRU;4JVS",NA
"101","P62873","ENSP00000481878","Nsp7","GNB1","0.839532136","0.0","2.67","26.67","GBB1_HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)"," Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.","4KFM;4PNK;5HE0;5HE1;5HE2;5HE3;5UKK;5UKL;5UKM;5UZ7;6B3J;6CRK;6D9H;6DDE;6DDF;6E3Y;6EG8;6G79;6GDG;6M8S;6N4B;6NI3;6NIY;6OIJ;6OIK;6OS9;6OSA;6OT0"," Mental retardation, autosomal dominant 42 (MRD42) [MIM:616973]: A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. MRD42 patients manifest global developmental delay commonly accompanied by hypotonia, seizures of various types, ophthalmological manifestations, and poor growth. {ECO:0000269|PubMed:25485910, ECO:0000269|PubMed:27108799, ECO:0000269|PubMed:27668284, ECO:0000269|PubMed:28087732}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"102","P62877","ENSP00000216225","Orf10","RBX1","0.63921796","0.05","2.0","20.0","RBX1_HUMAN","E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]"," E3 ubiquitin ligase component of multiple cullin-RING-based E3 ubiquitin-protein ligase (CRLs) complexes which mediate the ubiquitination and subsequent proteasomal degradation of target proteins, including proteins involved in cell cycle progression, signal transduction, transcription and transcription-coupled nucleotide excision repair (PubMed:10230407, PubMed:10579999, PubMed:15983046, PubMed:16678110, PubMed:19112177, PubMed:19679664, PubMed:23455478, PubMed:27565346, PubMed:29769719, PubMed:11961546, PubMed:22748924). CRLs complexes and ARIH1 collaborate in tandem to mediate ubiquitination of target proteins, ARIH1 mediating addition of the first ubiquitin on CRLs targets (PubMed:27565346). The functional specificity of the E3 ubiquitin-protein ligase complexes depends on the variable substrate recognition components. As a component of the CSA complex promotes the ubiquitination of ERCC6 resulting in proteasomal degradation. Recruits the E2 ubiquitin-conjugating enzyme CDC34 to the complex and brings it into close proximity to the substrate. Probably also stimulates CDC34 autoubiquitination. May be required for histone H3 and histone H4 ubiquitination in response to ultraviolet and for subsequent DNA repair. Promotes the neddylation of CUL1, CUL2, CUL4 and CUL4 via its interaction with UBE2M. Involved in the ubiquitination of KEAP1, ENC1 and KLHL41. In concert with ATF2 and CUL3, promotes degradation of KAT5 thereby attenuating its ability to acetylate and activate ATM. {ECO:0000269|PubMed:10230407, ECO:0000269|PubMed:10579999, ECO:0000269|PubMed:11027288, ECO:0000269|PubMed:11961546, ECO:0000269|PubMed:15983046, ECO:0000269|PubMed:16678110, ECO:0000269|PubMed:16751180, ECO:0000269|PubMed:18397884, ECO:0000269|PubMed:19112177, ECO:0000269|PubMed:19679664, ECO:0000269|PubMed:22748924, ECO:0000269|PubMed:23455478, ECO:0000269|PubMed:27565346, ECO:0000269|PubMed:29769719}.","1LDJ;1LDK;1U6G;2HYE;2LGV;3DPL;3DQV;3RTR;4F52;4P5O;5N4W",NA
"103","P63218","ENSP00000359679","Nsp7","GNG5","0.817631566","0.05","2.0","20.0","GBG5_HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5"," Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.",NA,NA
"104","P67870","ENSP00000400188","N","CSNK2B","0.803607895","0.0","2.33","23.33","CSK2B_HUMAN","Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)"," Participates in Wnt signaling (By similarity). Plays a complex role in regulating the basal catalytic activity of the alpha subunit. {ECO:0000250, ECO:0000269|PubMed:11239457, ECO:0000269|PubMed:16818610}.","1DS5;1JWH;1QF8;3EED;4DGL;4MD7;4MD8;4MD9;4NH1;6Q38",NA
"105","P78406","ENSP00000379182","Orf6","RAE1","0.963218346","0.0","20.33","203.33","RAE1L_HUMAN","mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)"," Plays a role in mitotic bipolar spindle formation (PubMed:17172455). Binds mRNA. May function in nucleocytoplasmic transport and in directly or indirectly attaching cytoplasmic mRNPs to the cytoskeleton. {ECO:0000269|PubMed:17172455}.","3MMY;4OWR",NA
"106","P82663","ENSP00000253686","Nsp8","MRPS25","0.826437119","0.0","4.67","46.67","RT25_HUMAN","28S ribosomal protein S25, mitochondrial (MRP-S25) (S25mt) (Mitochondrial small ribosomal subunit protein mS25)",NA,"3J9M;6NU2;6NU3",NA
"107","P82675","ENSP00000272418","Nsp8","MRPS5","0.63637328","0.04","2.33","23.33","RT05_HUMAN","28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt) (Mitochondrial small ribosomal subunit protein uS5m)",NA,"3J9M;6NU2;6NU3",NA
